"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","851","Verify toast notification appears after triggering","chromium","Sun Apr 19 09:43:59 UTC 2026","passed","Sun Apr 19 09:44:00 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","1326","Fill all fields with valid data and submit successfully","chromium","Sun Apr 19 09:44:10 UTC 2026","passed","Sun Apr 19 09:44:12 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","543","Verify getAttribute returns the correct input value","chromium","Sun Apr 19 09:44:28 UTC 2026","passed","Sun Apr 19 09:44:28 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","1145","Close an advanced dialog using the Close button","chromium","Sun Apr 19 09:44:00 UTC 2026","passed","Sun Apr 19 09:44:01 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","1310","Verify country dropdown selection","chromium","Sun Apr 19 09:44:21 UTC 2026","passed","Sun Apr 19 09:44:23 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","857","Get Button Height & Width","chromium","Sun Apr 19 09:44:02 UTC 2026","passed","Sun Apr 19 09:44:03 UTC 2026","Button Tests","buttons.spec.ts","",""
"","1119","Verify form fields retain values after validation failure","chromium","Sun Apr 19 09:44:31 UTC 2026","passed","Sun Apr 19 09:44:32 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","946","Accept a confirm dialog and verify accepted state","chromium","Sun Apr 19 09:43:58 UTC 2026","passed","Sun Apr 19 09:43:58 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","591","Verify input placeholder disappears on typing","chromium","Sun Apr 19 09:44:26 UTC 2026","passed","Sun Apr 19 09:44:26 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","943","Get all available options from the programming language dropdown","chromium","Sun Apr 19 09:44:07 UTC 2026","passed","Sun Apr 19 09:44:08 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","1183","Select 'Apple' from fruit dropdown by visible text","chromium","Sun Apr 19 09:44:06 UTC 2026","passed","Sun Apr 19 09:44:07 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
