"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","955","Get all available options from the programming language dropdown","chromium","Sun Apr 19 10:23:15 UTC 2026","passed","Sun Apr 19 10:23:16 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","1392","Verify invalid email format shows validation error","chromium","Sun Apr 19 10:23:26 UTC 2026","passed","Sun Apr 19 10:23:27 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","787","Get Button Color","chromium","Sun Apr 19 10:23:09 UTC 2026","passed","Sun Apr 19 10:23:10 UTC 2026","Button Tests","buttons.spec.ts","",""
"","907","Verify a dropdown is enabled and interactable","chromium","Sun Apr 19 10:23:16 UTC 2026","passed","Sun Apr 19 10:23:17 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","776","Verify multiple interest checkboxes can be selected","chromium","Sun Apr 19 10:23:33 UTC 2026","passed","Sun Apr 19 10:23:34 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","981","Get text from a simple browser alert before accepting","chromium","Sun Apr 19 10:23:04 UTC 2026","passed","Sun Apr 19 10:23:05 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","1304","Verify reset button clears all fields","chromium","Sun Apr 19 10:23:30 UTC 2026","passed","Sun Apr 19 10:23:31 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","917","Verify required field errors appear on empty submit","chromium","Sun Apr 19 10:23:18 UTC 2026","passed","Sun Apr 19 10:23:19 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","1558","Right Click Button","chromium","Sun Apr 19 10:23:12 UTC 2026","passed","Sun Apr 19 10:23:13 UTC 2026","Button Tests","buttons.spec.ts","",""
"","840","Accept a confirm dialog and verify accepted state","chromium","Sun Apr 19 10:23:06 UTC 2026","passed","Sun Apr 19 10:23:06 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","1069","Verify form fields retain values after validation failure","chromium","Sun Apr 19 10:23:41 UTC 2026","passed","Sun Apr 19 10:23:42 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","819","Double Click Button","chromium","Sun Apr 19 10:23:11 UTC 2026","passed","Sun Apr 19 10:23:12 UTC 2026","Button Tests","buttons.spec.ts","",""
"","1091","Close an advanced dialog using the Close button","chromium","Sun Apr 19 10:23:08 UTC 2026","passed","Sun Apr 19 10:23:09 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","1046","Accept a simple browser alert and verify it closes","chromium","Sun Apr 19 10:23:04 UTC 2026","passed","Sun Apr 19 10:23:05 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","1674","Fill all fields with valid data and submit successfully","chromium","Sun Apr 19 10:23:17 UTC 2026","passed","Sun Apr 19 10:23:19 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","805","Dismiss a confirm dialog and verify dismissed state","chromium","Sun Apr 19 10:23:06 UTC 2026","passed","Sun Apr 19 10:23:06 UTC 2026","Alert Verifications","alerts.spec.ts","",""
"","2827","Click and Hold for 1.5 sec","chromium","Sun Apr 19 10:23:11 UTC 2026","passed","Sun Apr 19 10:23:14 UTC 2026","Button Tests","buttons.spec.ts","",""
"","1308","Verify invalid phone number format shows error","chromium","Sun Apr 19 10:23:26 UTC 2026","passed","Sun Apr 19 10:23:28 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","647","Verify text present inside input field matches expected value","chromium","Sun Apr 19 10:23:43 UTC 2026","passed","Sun Apr 19 10:23:44 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","819","Get Button Height & Width","chromium","Sun Apr 19 10:23:10 UTC 2026","passed","Sun Apr 19 10:23:11 UTC 2026","Button Tests","buttons.spec.ts","",""
"","767","Verify input field text can be cleared successfully","chromium","Sun Apr 19 10:23:45 UTC 2026","passed","Sun Apr 19 10:23:45 UTC 2026","Input Fields","input-fields.spec.ts","",""
"","953","Verify password mismatch shows confirm password error","chromium","Sun Apr 19 10:23:28 UTC 2026","passed","Sun Apr 19 10:23:29 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","998","Verify the total count of options in the country dropdown","chromium","Sun Apr 19 10:23:17 UTC 2026","passed","Sun Apr 19 10:23:18 UTC 2026","Dropdowns Validations","dropdown.spec.ts","",""
"","1254","Verify success message displays submitted name","chromium","Sun Apr 19 10:23:29 UTC 2026","passed","Sun Apr 19 10:23:30 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","929","Verify country dropdown selection","chromium","Sun Apr 19 10:23:32 UTC 2026","passed","Sun Apr 19 10:23:33 UTC 2026","Form Validations","form-validations.spec.ts","",""
"","868","Dismiss a prompt dialog and verify no input is captured","chromium","Sun Apr 19 10:23:06 UTC 2026","passed","Sun Apr 19 10:23:07 UTC 2026","Alert Verifications","alerts.spec.ts","",""
